date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:08:35	52509/52509	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:48:17%20GMT	https://www.w3schools.com/html/default.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/default.html	(from )
21:08:36	228/228	---M-Z	200	added ('OK')	text/plain	etag:%2255c342fcd390d11:0%22	https://www.w3schools.com/robots.txt		(from )
21:08:37	23293/23293	---M-Z	200	added ('OK')	text/css	etag:%220925540a2a1d31:0%22	https://www.w3schools.com/w3css/4/w3.css	C:/Letoltott%20weblapok/html/www.w3schools.com/w3css/4/w3.css	(from https://www.w3schools.com/html/default.asp)
21:08:38	2010/2010	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c6c024b-7da-56ca5a298ce39%22	http://static.h-bid.com/gdpr/cmp.stub.js	C:/Letoltott%20weblapok/html/static.h-bid.com/gdpr/cmp.stub.js	(from https://www.w3schools.com/html/default.asp)
21:08:38	53263/53263	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c6e0302-d00f-56cf4a8d6aa14%22	http://static.h-bid.com/w3schools.com/20180525/snhb-w3schools.min.js	C:/Letoltott%20weblapok/html/static.h-bid.com/w3schools.com/20180525/snhb-w3schools.min.js	(from https://www.w3schools.com/html/default.asp)
21:08:39	19869/19869	---MC-	200	added ('OK')	text/javascript	date:Mon,%2004%20Jun%202018%2019:08:38%20GMT	https://www.googletagservices.com/tag/js/gpt.js	C:/Letoltott%20weblapok/html/www.googletagservices.com/tag/js/gpt.js	(from https://www.w3schools.com/html/default.asp)
21:08:39	35266/35266	---MC-	200	added ('OK')	text/javascript	date:Fri,%2018%20May%202018%2001:10:24%20GMT	https://www.google-analytics.com/analytics.js	C:/Letoltott%20weblapok/html/www.google-analytics.com/analytics.js	(from https://www.w3schools.com/html/default.asp)
21:08:40	75457/75457	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:53:11%20GMT	https://www.w3schools.com/html/html_examples.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_examples.html	(from https://www.w3schools.com/html/default.asp)
21:08:40	54657/54657	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:48:42%20GMT	https://www.w3schools.com/html/html_intro.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_intro.html	(from https://www.w3schools.com/html/default.asp)
21:08:41	52543/52543	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:49:50%20GMT	https://www.w3schools.com/html/html_editors.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_editors.html	(from https://www.w3schools.com/html/default.asp)
21:08:42	53992/53992	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:49:21%20GMT	https://www.w3schools.com/html/html_basic.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_basic.html	(from https://www.w3schools.com/html/default.asp)
21:08:42	54818/54818	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:48:52%20GMT	https://www.w3schools.com/html/html_elements.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_elements.html	(from https://www.w3schools.com/html/default.asp)
21:08:42	60159/60159	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:51:37%20GMT	https://www.w3schools.com/html/html_attributes.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_attributes.html	(from https://www.w3schools.com/html/default.asp)
21:08:43	55687/55687	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:49:28%20GMT	https://www.w3schools.com/html/html_headings.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_headings.html	(from https://www.w3schools.com/html/default.asp)
21:08:43	54670/54670	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:51:47%20GMT	https://www.w3schools.com/html/html_paragraphs.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_paragraphs.html	(from https://www.w3schools.com/html/default.asp)
21:08:44	54426/54426	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:50:25%20GMT	https://www.w3schools.com/html/html_styles.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_styles.html	(from https://www.w3schools.com/html/default.asp)
21:08:44	57740/57740	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:49:14%20GMT	https://www.w3schools.com/html/html_formatting.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_formatting.html	(from https://www.w3schools.com/html/default.asp)
21:08:45	55598/55598	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jun%202018%2018:54:07%20GMT	https://www.w3schools.com/html/html_quotation_elements.asp	C:/Letoltott%20weblapok/html/www.w3schools.com/html/html_quotation_elements.html	(from https://www.w3schools.com/html/default.asp)
